,taxonomicNameString,fullNameWithAuthorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarNameGroup,taxonomicNameAuthorship,combinationAuthorship,basionymAuthorship,combinationExAuthorship,basionymExAuthorship,nomenclaturalStatus,basedOn,kindOfName,nameRegistrationString,verbatimTaxonomicNameString
20,Leioproctus claviger,Leioproctus claviger Leijs,specificEpithet,0.0,Leioproctus,Colletellus,claviger,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) claviger Leijs, sp."
21,Leioproctus laciniosus,Leioproctus laciniosus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,laciniosus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) laciniosus Leijs, sp."
22,Leioproctus laciniosus,Leioproctus laciniosus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,laciniosus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) laciniosus Leijs, sp."
23,Leioproctus lucidus,Leioproctus lucidus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,lucidus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,Leioproctus (Colletellus) lucidus Leijs sp.
24,Leioproctus longivultu,Leioproctus longivultu Leijs,specificEpithet,0.0,Leioproctus,Colletellus,longivultu,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) longivultu Leijs, sp."
25,Leioproctus consobrinus,Leioproctus consobrinus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,consobrinus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) consobrinus Leijs, sp."
26,Leioproctus constrictus,Leioproctus constrictus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,constrictus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) constrictus Leijs, sp."
27,Leioproctus claviger,Leioproctus claviger Leijs,specificEpithet,0.0,Leioproctus,Colletellus,claviger,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) claviger Leijs, sp."
28,Leioproctus constrictus,Leioproctus constrictus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,constrictus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) constrictus Leijs, sp."
29,Leioproctus auricorneus,Leioproctus auricorneus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,auricorneus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) auricorneus Leijs, sp."
30,Leioproctus consobrinus,Leioproctus consobrinus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,consobrinus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) consobrinus Leijs, sp."
31,Leioproctus lucidus,Leioproctus lucidus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,lucidus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) lucidus Leijs, sp."
32,Leioproctus pilotapilus,Leioproctus pilotapilus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,pilotapilus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) pilotapilus Leijs, sp."
